d_d0,d_d1,d_d2,d_d3,d_d4,d_d5,d_d6,d_d7,d_d8,d_d9,d_d10,label
corporate,no,select,fluent,no,sidebar,no,subtle,yes,yes,no,dotnet_wpf
corporate,no,select,fluent,sketch,sidebar,no,no,yes,yes,no,dotnet_wpf
corporate,yes,yes,fluent,figma,sidebar,no,no,yes,yes,tooltips,dotnet_wpf
corporate,no,no,unknown,no,sidebar,no,no,yes,basic,no,dotnet_wpf
corporate,no,select,fluent,sketch,sidebar,no,subtle,yes,yes,tooltips,dotnet_wpf
corporate,no,select,fluent,no,tabs,no,no,yes,yes,no,dotnet_wpf
corporate,yes,yes,fluent,figma,sidebar,no,subtle,yes,yes,tooltips,dotnet_wpf
corporate,no,select,fluent,no,sidebar,no,no,yes,yes,no,dotnet_wpf
corporate,no,select,unknown,no,sidebar,no,no,yes,yes,no,dotnet_wpf
corporate,no,no,fluent,no,sidebar,no,no,yes,basic,no,dotnet_wpf
corporate,no,select,unknown,no,sidebar,optional,subtle,nice,yes,tooltips,dotnet_maui
corporate,yes,yes,unknown,figma,sidebar,yes,subtle,yes,yes,full,dotnet_maui
corporate,no,select,unknown,sketch,sidebar,optional,subtle,yes,yes,tooltips,dotnet_maui
corporate,no,no,unknown,no,tabs,no,no,no,basic,no,dotnet_maui
corporate,no,select,unknown,no,sidebar,optional,subtle,nice,yes,tooltips,dotnet_maui
corporate,yes,yes,unknown,figma,sidebar,yes,subtle,yes,yes,full,dotnet_maui
corporate,no,select,fluent,no,sidebar,no,no,yes,yes,no,java_fx
corporate,yes,yes,unknown,figma,sidebar,optional,subtle,yes,yes,tooltips,java_fx
corporate,no,select,unknown,sketch,sidebar,optional,no,yes,yes,no,java_fx
corporate,no,no,unknown,no,sidebar,no,no,nice,basic,no,java_fx
corporate,no,select,material,no,sidebar,no,subtle,nice,yes,tooltips,flutter_desktop
corporate,yes,yes,material,figma,sidebar,yes,subtle,yes,yes,full,flutter_desktop
corporate,no,select,material,sketch,sidebar,optional,subtle,nice,yes,tooltips,flutter_desktop
corporate,no,no,unknown,no,tabs,no,no,no,basic,no,flutter_desktop
editor,no,select,custom,no,sidebar,yes,subtle,nice,yes,tooltips,electron_js
editor,yes,yes,custom,figma,sidebar,yes,subtle,nice,yes,full,electron_js
editor,no,select,custom,sketch,sidebar,yes,subtle,no,yes,tooltips,electron_js
editor,no,no,unknown,no,sidebar,yes,no,no,basic,no,electron_js
editor,no,select,custom,no,sidebar,yes,subtle,no,yes,tooltips,electron_js
editor,yes,yes,custom,figma,sidebar,yes,rich,nice,yes,full,electron_js
editor,no,select,custom,sketch,sidebar,yes,subtle,no,yes,tooltips,electron_js
editor,no,select,custom,no,sidebar,yes,subtle,nice,yes,tooltips,tauri_rust
editor,yes,yes,custom,figma,sidebar,yes,subtle,nice,yes,full,tauri_rust
editor,no,select,custom,sketch,sidebar,yes,subtle,no,yes,tooltips,tauri_rust
editor,no,no,unknown,no,sidebar,yes,no,no,basic,no,tauri_rust
editor,no,select,custom,no,sidebar,yes,subtle,no,yes,tooltips,tauri_rust
editor,yes,yes,custom,figma,sidebar,yes,rich,nice,yes,full,tauri_rust
editor,no,select,custom,no,sidebar,yes,rich,no,yes,no,qt_cpp
editor,yes,yes,custom,figma,sidebar,yes,rich,nice,yes,tooltips,qt_cpp
editor,no,select,custom,sketch,sidebar,yes,subtle,no,yes,no,qt_cpp
editor,no,no,unknown,no,sidebar,yes,no,no,basic,no,qt_cpp
editor,no,select,custom,no,sidebar,yes,subtle,nice,yes,tooltips,qt_cpp
editor,yes,yes,custom,figma,sidebar,yes,rich,yes,yes,full,qt_cpp
editor,no,select,custom,no,sidebar,yes,subtle,nice,yes,tooltips,flutter_desktop
editor,yes,yes,material,figma,sidebar,yes,subtle,nice,yes,full,flutter_desktop
editor,no,select,custom,sketch,sidebar,yes,subtle,no,yes,tooltips,flutter_desktop
editor,no,no,unknown,no,sidebar,yes,no,no,basic,no,flutter_desktop
utility,no,no,unknown,no,tabs,no,no,no,no,no,python_pyqt
utility,no,select,unknown,no,tabs,no,no,no,basic,no,python_pyqt
utility,yes,no,unknown,sketch,tabs,no,no,no,basic,no,python_pyqt
utility,no,no,unknown,no,tabs,no,no,no,no,no,python_pyqt
utility,no,select,unknown,no,tabs,no,subtle,no,basic,no,python_pyqt
utility,no,no,fluent,no,tabs,no,no,yes,no,no,dotnet_wpf
utility,no,select,fluent,no,tabs,no,no,yes,basic,no,dotnet_wpf
utility,yes,no,fluent,sketch,tabs,no,no,yes,basic,no,dotnet_wpf
utility,no,no,fluent,no,tabs,no,no,yes,no,no,dotnet_wpf
