w_d0,w_d1,w_d2,w_d3,w_d4,w_d5,w_d6,w_d7,w_d8,w_d9,w_d10,w_d11,label
landing,no,select,no,no,minimalist,1,top,no,subtle,no,yes,gatsby_netlify
landing,no,select,no,no,minimalist,1,top,no,no,no,yes,gatsby_netlify
landing,no,no,no,no,minimalist,1,top,no,no,no,unknown,gatsby_netlify
landing,yes,yes,yes,figma,minimalist,1,top,no,subtle,no,custom,gatsby_netlify
landing,no,select,no,sketch,friendly,2-5,top,no,subtle,no,yes,gatsby_netlify
landing,no,no,no,no,minimalist,2-5,top,no,no,no,unknown,gatsby_netlify
landing,no,select,no,no,minimalist,1,burger,no,subtle,no,yes,gatsby_netlify
landing,yes,yes,yes,figma,minimalist,1,burger,no,subtle,nice,custom,gatsby_netlify
landing,no,select,no,no,minimalist,2-5,top,no,subtle,no,yes,nextjs_vercel
landing,no,select,no,sketch,friendly,2-5,top,optional,subtle,nice,yes,nextjs_vercel
landing,yes,yes,yes,figma,creative,2-5,burger,yes,rich,nice,custom,nextjs_vercel
landing,no,select,no,no,creative,2-5,top,optional,subtle,no,yes,nextjs_vercel
landing,no,no,no,no,corporate,2-5,top,no,no,nice,unknown,nextjs_vercel
landing,yes,yes,yes,figma,friendly,2-5,top,no,subtle,nice,custom,nextjs_vercel
landing,no,select,no,sketch,minimalist,2-5,burger,optional,subtle,no,yes,nextjs_vercel
landing,no,select,no,no,minimalist,2-5,top,no,subtle,no,yes,nextjs_vercel
corporate,no,select,no,no,corporate,6-15,top,no,no,nice,yes,wordpress_php
corporate,no,select,no,sketch,corporate,6-15,top,no,no,nice,yes,wordpress_php
corporate,yes,yes,yes,figma,corporate,6-15,top,no,no,nice,custom,wordpress_php
corporate,no,no,no,no,corporate,6-15,top,no,no,no,unknown,wordpress_php
corporate,no,select,no,sketch,corporate,6-15,top,no,subtle,nice,yes,wordpress_php
corporate,no,select,no,no,corporate,16-50,top,no,no,nice,yes,wordpress_php
corporate,yes,yes,yes,figma,corporate,16-50,top,no,subtle,nice,custom,wordpress_php
corporate,no,select,no,no,corporate,6-15,top,no,no,no,unknown,wordpress_php
