d2,d3,d6,d7,d8,d13,d14,d15,d_fe4,d16,d17,d18,d19,d_ar3,d_ar5,d_fe8,d_fe9,d_ar7,d_h8,d_h10,label
corporate,windows,2-5,3-6months,100-500k,full,no,filesystem,wpf,no,basic,no,no,no,no,yes,yes,no,yes,no,dotnet_wpf
corporate,windows,2-5,3-6months,100-500k,full,no,filesystem,wpf,no,extended,onetime,no,no,no,yes,yes,no,yes,yes,dotnet_wpf
corporate,windows,6+,6+months,500k-3m,partial,moderate,filesystem,wpf,yes,extended,subscription,yes,yes,no,yes,yes,yes,yes,yes,dotnet_wpf
corporate,windows,1,1-3months,100k,full,no,no,wpf,no,no,no,no,no,no,no,no,no,no,no,dotnet_wpf
corporate,windows,2-5,3-6months,100-500k,full,no,filesystem,unknown,no,basic,no,no,no,no,yes,yes,no,yes,no,dotnet_wpf
corporate,windows,6+,6+months,500k-3m,partial,moderate,hardware,wpf,yes,extended,subscription,yes,yes,yes,yes,yes,yes,yes,yes,dotnet_wpf
corporate,windows,2-5,1-3months,100-500k,full,no,no,unknown,baas,basic,no,maybe,no,no,no,yes,no,yes,no,dotnet_wpf
corporate,windows,1,3-6months,100-500k,full,no,filesystem,wpf,no,basic,onetime,no,no,no,no,no,no,no,no,dotnet_wpf
corporate,windows,2-5,3-6months,100-500k,partial,no,no,unknown,baas,extended,subscription,yes,no,yes,yes,yes,no,yes,yes,dotnet_wpf
corporate,windows,6+,6+months,3m+,partial,moderate,hardware,wpf,yes,extended,subscription,yes,yes,yes,yes,yes,yes,yes,yes,dotnet_wpf
corporate,all,2-5,3-6months,100-500k,full,no,filesystem,unknown,no,basic,no,no,no,no,yes,yes,no,yes,no,dotnet_maui
corporate,all,2-5,3-6months,100-500k,full,no,no,unknown,baas,extended,no,maybe,no,yes,yes,yes,no,yes,no,dotnet_maui
corporate,all,6+,6+months,500k-3m,partial,no,filesystem,unknown,yes,extended,subscription,yes,yes,yes,yes,yes,yes,yes,yes,dotnet_maui
corporate,all,2-5,1-3months,100-500k,full,no,no,unknown,no,basic,no,no,no,no,no,yes,no,no,no,dotnet_maui
corporate,all,6+,6+months,3m+,partial,moderate,filesystem,unknown,yes,extended,subscription,yes,yes,yes,yes,yes,yes,yes,yes,dotnet_maui
editor,all,2-5,3-6months,100-500k,full,no,filesystem,electron,no,no,no,maybe,no,no,no,no,no,no,no,electron_js
editor,all,2-5,3-6months,100-500k,full,no,filesystem,electron,no,basic,no,maybe,no,no,yes,yes,no,yes,no,electron_js
