w2,w3,w5,w6,w7,w8,w12,w13,w_fe3,w_fe4,w14,w15,w_be3,w16,w17,w_ar3,w18,w19,w20,w_ar6,w_be8,label
landing,russia,1,1month,50k,1k,no,no,ssg,react,no,no,unknown,no,1k,monolith,no,simple,no,no,no,gatsby_netlify
landing,russia,1,1month,50k,1k,no,responsive,ssg,react,no,no,unknown,no,1k,monolith,no,simple,no,no,no,gatsby_netlify
landing,russia,2-5,1-3months,50-300k,1-5k,nice,responsive,ssg,react,no,no,unknown,no,1k,monolith,no,simple,no,no,no,gatsby_netlify
landing,abroad,1,1month,50k,1k,no,responsive,ssg,react,no,no,unknown,no,1k,monolith,no,simple,no,no,no,nextjs_vercel
landing,abroad,1,1month,50-300k,1k,nice,responsive,ssg,react,no,no,unknown,no,1k,monolith,no,simple,no,no,no,nextjs_vercel
landing,both,2-5,1-3months,50-300k,1-5k,nice,responsive,ssg,unknown,no,no,unknown,maybe,1k,monolith,no,simple,no,no,no,gatsby_netlify
landing,russia,2-5,1-3months,50-300k,1-5k,critical,responsive,ssr,react,no,no,unknown,maybe,1k,monolith,no,simple,no,no,no,nextjs_vercel
landing,russia,1,1month,50k,1k,no,no,ssg,vanilla,no,no,unknown,no,1k,monolith,no,simple,no,no,no,gatsby_netlify
landing,russia,1,1month,50k,1k,nice,no,ssg,unknown,no,no,unknown,no,1k,monolith,yes,cloud_russia,no,no,no,nextjs_vercel
landing,abroad,2-5,1-3months,50-300k,1k,nice,responsive,ssg,react,no,no,unknown,no,1k,monolith,no,simple,no,no,no,nextjs_vercel
corporate,russia,2-5,1-3months,50-300k,1-5k,critical,responsive,ssr,unknown,basic,no,php,no,1k,monolith,yes,cloud_russia,no,no,no,wordpress_php
corporate,russia,1,1-3months,50-300k,1-5k,critical,responsive,ssr,unknown,basic,no,php,no,1k,monolith,yes,cloud_russia,no,no,no,wordpress_php
corporate,russia,2-5,3-6months,300k-1m,5-20k,critical,responsive,ssr,unknown,basic,no,php,maybe,1-50k,monolith,yes,cloud_russia,prefer,no,no,bitrix_php
corporate,russia,2-5,3-6months,300k-1m,5-20k,critical,responsive,ssr,unknown,extended,no,php,yes,1-50k,monolith,yes,cloud_russia,prefer,no,basic,bitrix_php
corporate,russia,2-5,1-3months,50-300k,1-5k,nice,responsive,ssr,vue,basic,no,unknown,maybe,1k,monolith,no,vps,no,no,no,vue_laravel_mysql
corporate,russia,2-5,1-3months,50-300k,1-5k,nice,responsive,ssr,vue,basic,no,unknown,no,1k,monolith,yes,cloud_russia,no,no,no,vue_laravel_mysql
corporate,both,2-5,3-6months,300k-1m,5-20k,nice,responsive,ssr,react,basic,no,node,maybe,1-50k,monolith,no,cloud_international,prefer,no,no,vue_laravel_mysql
corporate,russia,6+,3-6months,300k-1m,5-20k,critical,responsive,ssr,unknown,extended,no,unknown,yes,1-50k,monolith,yes,cloud_russia,prefer,no,no,bitrix_php
corporate,abroad,2-5,1-3months,50-300k,1-5k,nice,responsive,ssg,react,no,no,unknown,no,1k,monolith,no,cloud_international,no,no,no,nextjs_vercel
corporate,russia,2-5,3-6months,50-300k,1-5k,critical,responsive,ssr,vue,basic,no,python,maybe,1k,monolith,yes,cloud_russia,no,no,no,vue_laravel_mysql
ecommerce,russia,2-5,3-6months,300k-1m,5-20k,critical,responsive,ssr,react,extended,russia,node,yes,1-50k,monolith,yes,cloud_russia,prefer,no,basic,nextjs_nestjs_pg
ecommerce,russia,2-5,3-6months,300k-1m,5-20k,critical,responsive,ssr,unknown,extended,russia,php,yes,1-50k,monolith,yes,cloud_russia,prefer,no,basic,bitrix_php
ecommerce,russia,6+,6+months,1m+,20k+,critical,responsive,ssr,react,extended,russia,node,yes,50-500k,monolith,yes,cloud_russia,critical,no,fulltext,nextjs_nestjs_pg
ecommerce,russia,6+,6+months,1m+,20k+,critical,app,ssr,react,extended,both,node,yes,50-500k,microservices,yes,cloud_russia,critical,yes,fulltext,nextjs_nestjs_pg
ecommerce,both,6+,6+months,1m+,20k+,critical,responsive,ssr,react,extended,both,node,yes,50-500k,microservices,no,cloud_international,critical,yes,fulltext,nextjs_nestjs_pg
ecommerce,russia,2-5,1-3months,50-300k,1-5k,critical,responsive,ssr,unknown,basic,russia,php,maybe,1k,monolith,yes,cloud_russia,no,no,no,wordpress_php
ecommerce,russia,2-5,3-6months,300k-1m,5-20k,critical,responsive,ssr,react,extended,russia,python,yes,1-50k,monolith,yes,cloud_russia,prefer,no,basic,nextjs_django_pg
ecommerce,both,6+,6+months,1m+,20k+,critical,app,ssr,react,extended,both,python,yes,50-500k,microservices,no,cloud_international,critical,yes,fulltext,nextjs_django_pg
ecommerce,russia,2-5,3-6months,300k-1m,5-20k,critical,responsive,ssr,vue,extended,russia,unknown,yes,1-50k,monolith,yes,cloud_russia,prefer,no,basic,vue_laravel_mysql
ecommerce,russia,2-5,3-6months,50-300k,5-20k,critical,responsive,ssr,unknown,basic,russia,php,no,1k,monolith,yes,cloud_russia,no,no,no,wordpress_php
news,russia,2-5,3-6months,300k-1m,5-20k,critical,responsive,ssr,react,basic,no,node,yes,50-500k,monolith,yes,cloud_russia,prefer,no,basic,nextjs_node_pg
news,russia,2-5,3-6months,300k-1m,5-20k,critical,responsive,ssr,vue,basic,no,python,yes,50-500k,monolith,yes,cloud_russia,prefer,no,basic,nuxt_django_pg
news,russia,6+,6+months,1m+,20k+,critical,responsive,ssr,react,basic,no,node,yes,500k+,microservices,yes,cloud_russia,critical,yes,fulltext,nextjs_nestjs_pg
