Метрика;Значение
Генерация графа, мс (среднее / медиана / P95 / макс.);0,68 / 0,69 / 0,91 / 1,29
Экспорт HTML, мс (среднее);0,19
Сериализация JSON, мс (среднее);1,36
Полный цикл, мс (среднее / медиана / P95 / макс.);2,24 / 2,31 / 2,66 / 3,57
Проверки соблюдения ограничений;3075 из 3075 (100 %)
Элементы в границах холста;17 583 из 17 583 (100 %)
Непреднамеренные перекрытия (IoU > 0,02, без вложенности);0 из 157 079 пар
Элементы, разделяющие ось выравнивания с соседом;14 440 из 15 330 (94,2 %)
Узлов в графе (среднее / мин / макс);70 / 37 / 91
Воспроизводимость при фиксированном зерне;полная (побайтовое совпадение)
